X,Y,pb_pb,sx_sl,ex_ob,sistema,tipo,subtipo,supramun,sup,cod,nome,parroquia,solo,obt,tipo_ces,ambito_ces,observ,icon_url
-8.02869753313148,42.3822414020713,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02536232354549,42.381764354962,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01431334228312,42.3889299123287,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00470248761619,42.3507568038737,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00675369982495,42.3515776918078,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02707621935928,42.3834314700486,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02887190205425,42.3820136471674,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00597574857194,42.3520069722036,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00535973788742,42.3521479998823,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.0053138717605,42.3528390683116,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00530381891631,42.353476520874,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.005268783205,42.3539661594174,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00525416885722,42.354210716549,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00524156609321,42.3547824228025,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.0054074796857,42.3552668463648,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00517387021081,42.3566007938508,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
